Unique ID,Unique Lake,sampledate,sample year,deepth sample,Value Flags TURB,TURB (NTU)
CHN106414,CHN10536,11/09/2021,NA,0.5,NA,15.425
CHN106415,CHN10536,11/09/2021,NA,0.5,NA,15.375
CHN106416,CHN10536,10/11/2021,NA,0.5,NA,108
CHN106417,CHN10536,11/09/2021,NA,0.5,NA,15.375
CHN106418,CHN10536,11/09/2021,NA,0.5,NA,16.925
CHN106419,CHN10536,11/09/2021,NA,0.5,NA,16.275
CHN106420,CHN10536,11/09/2021,NA,0.5,NA,16.66666667
CHN106421,CHN10536,10/11/2021,NA,0.5,NA,71.75
CHN106422,CHN10536,10/11/2021,NA,0.5,NA,70.6
CHN106423,CHN10536,11/09/2021,NA,0.5,NA,17.3
CHN106424,CHN10536,11/09/2021,NA,0.5,NA,19.35
CHN106425,CHN10536,11/09/2021,NA,0.5,NA,17.825
CHN106426,CHN10536,11/09/2021,NA,0.5,NA,21.95
CHN106427,CHN10536,11/09/2021,NA,0.5,NA,17.975
CHN106428,CHN10536,29/04/2021,NA,0.5,NA,70.8
CHN106429,CHN10536,16/09/2021,NA,0.5,NA,68.03333333
CHN106430,CHN10536,16/09/2021,NA,0.5,NA,91.83333333
CHN106431,CHN10536,09/11/2021,NA,0.5,NA,85.75
CHN106432,CHN10536,29/04/2021,NA,0.5,NA,65.4
CHN106433,CHN10536,29/04/2021,NA,0.5,NA,64
CHN106434,CHN10536,09/11/2021,NA,0.5,NA,102.5
CHN106435,CHN10536,09/11/2021,NA,0.5,NA,62.15
CHN106436,CHN10536,29/04/2021,NA,0.5,NA,52.2
CHN106437,CHN10536,09/11/2021,NA,0.5,NA,81.35
CHN106438,CHN10536,16/09/2021,NA,0.5,NA,79.8
CHN106439,CHN10536,16/09/2021,NA,0.5,NA,66.73333333
CHN106440,CHN10536,29/04/2021,NA,0.5,NA,69.7
CHN106441,CHN10536,16/09/2021,NA,0.5,NA,68.03333333
CHN106442,CHN10537,09/11/2021,NA,0.5,NA,33
CHN106443,CHN10537,09/11/2021,NA,0.5,NA,28.2
CHN106444,CHN10537,09/11/2021,NA,0.5,NA,36.9
CHN106445,CHN10537,09/11/2021,NA,0.5,NA,30.75
CHN106446,CHN10537,09/11/2021,NA,0.5,NA,32.3
CHN106447,CHN10537,09/11/2021,NA,0.5,NA,35.85
CHN106448,CHN10537,09/11/2021,NA,0.5,NA,33.7
CHN106449,CHN10537,09/11/2021,NA,0.5,NA,33.7
CHN106450,CHN10537,09/11/2021,NA,0.5,NA,31.45
CHN106451,CHN10537,09/11/2021,NA,0.5,NA,37.55
CHN106452,CHN10537,16/09/2021,NA,0.5,NA,18.76666667
CHN106453,CHN10537,16/09/2021,NA,0.5,NA,21.96666667
CHN106454,CHN10537,16/09/2021,NA,0.5,NA,18.2
CHN106455,CHN10537,16/09/2021,NA,0.5,NA,32.5
CHN106456,CHN10537,16/09/2021,NA,0.5,NA,30.03333333
CHN106460,CHN10540,29/04/2021,NA,0.5,NA,8.24
CHN106461,CHN10540,29/04/2021,NA,0.5,NA,10.7
CHN106462,CHN10540,29/04/2021,NA,0.5,NA,7.23
CHN106463,CHN10540,29/04/2021,NA,0.5,NA,6.97
CHN106464,CHN10540,29/04/2021,NA,0.5,NA,8.39
CHN106465,CHN10540,11/11/2021,NA,0.5,NA,14.85
CHN106466,CHN10540,11/11/2021,NA,0.5,NA,16.65
CHN106467,CHN10540,11/11/2021,NA,0.5,NA,16.85
CHN106468,CHN10540,11/11/2021,NA,0.5,NA,15.45
CHN106469,CHN10540,11/11/2021,NA,0.5,NA,26.45
CHN106470,CHN10540,11/11/2021,NA,0.5,NA,23.9
CHN106471,CHN10540,11/11/2021,NA,0.5,NA,22.5
CHN106472,CHN10540,11/11/2021,NA,0.5,NA,27
FIN107299,FIN10758,19/06/2001,NA,1,NA,34
FIN107302,FIN10760,23/08/2000,NA,1,NA,1.4
FIN107309,FIN10761,17/06/2022,NA,1,NA,1.5
FIN107310,FIN10761,04/07/2022,NA,1,NA,0.9
FIN107311,FIN10761,15/07/2022,NA,1,NA,1.2
FIN107312,FIN10761,01/08/2022,NA,1,NA,1.6
FIN107313,FIN10761,22/08/2022,NA,1,NA,1.6
FIN107314,FIN10761,01/09/2022,NA,1,NA,1.6
FIN107315,FIN10761,12/09/2022,NA,1,NA,1.3
FIN107341,FIN10761,29/05/2000,NA,1,NA,1.5
FIN107342,FIN10761,29/05/2000,NA,1,NA,3.1
FIN107343,FIN10761,16/08/2000,NA,1,NA,0.82
FIN107344,FIN10761,29/05/2000,NA,1,NA,2.7
FIN107345,FIN10761,29/05/2000,NA,1,NA,1.5
FIN107346,FIN10761,29/05/2000,NA,1,NA,1.4
FIN107347,FIN10761,09/10/2003,NA,1,NA,7.3
FIN107348,FIN10761,08/08/2000,NA,1,NA,0.64
FIN107349,FIN10761,03/06/2003,NA,1,NA,4.9
FIN107350,FIN10761,24/05/2004,NA,1,NA,4.5
FIN107351,FIN10761,25/08/2004,NA,1,NA,3
FIN107352,FIN10761,08/08/2000,NA,1,NA,0.79
FIN107353,FIN10761,24/05/2000,NA,1,NA,0.78
FIN107354,FIN10761,29/05/2000,NA,1,NA,1.9
FIN107355,FIN10761,11/02/2009,NA,1,NA,2.6
FIN107356,FIN10761,29/05/2000,NA,1,NA,3.2
FIN107357,FIN10761,08/08/2000,NA,1,NA,0.74
FIN107358,FIN10761,21/05/2002,NA,1,NA,4.8
FIN107359,FIN10761,29/05/2000,NA,1,NA,1.1
FIN107360,FIN10761,22/05/2000,NA,1,NA,1.2
FIN107361,FIN10761,16/10/2006,NA,1,NA,4.5
FIN107362,FIN10761,19/08/2003,NA,1,NA,4.8
FIN107363,FIN10761,17/05/2005,NA,1,NA,3.2
FIN107364,FIN10761,29/05/2000,NA,1,NA,1.7
FIN107365,FIN10761,17/05/2000,NA,1,NA,2.1
FIN107366,FIN10761,22/05/2000,NA,1,NA,1.9
